CeGe;Prog. Finan.;Objetivo;Indicador;Descripción Indicador;Unidad de medida;Presupuestado;Realizado
001002;91100;01;01;SESIONES DEL PLENO;NÚMERO;16;19
001002;91100;01;02;SESIONES DE LAS COMISIONES DEL PLENO;NÚMERO;98;98
001002;91100;02;01;ACTUALIZACIÓNES DE LA INFORMACIÓN;NÚMERO;500;1362
001002;91100;02;02;DOCUMENTOS ACCESIBLES A TRAVÉS DE LA WEB;NÚMERO;3000;4716
001002;91100;02;03;MODIFICACIÓN DE PÁGINAS WEB PARA ADAPTACIÓN ROP;NÚMERO;10;0
001002;91100;03;01;ANOTACIONES DE DATOS DE CONCEJALES DESDE 1979;NÚMERO;500;0
001002;91100;03;02;DOCUMENTOS A INCORPORAR;NÚMERO;1000;0
001002;91100;03;03;ANOTACIONES EN RELACIÓN CON EL REGISTRO DE INTERESES;NÚMERO;1300;0
001002;91100;04;01;PÁGINAS;NÚMERO;100;111
001002;91100;04;02;ARCHIVOS;NÚMERO;500;618
001002;91100;05;01;DOCUMENTOS DE ENTRADA;NÚMERO;1200;1379
001002;91100;05;02;DOCUMENTOS DE SALIDA;NÚMERO;1300;952
001002;91101;01;04;DOCUMENTOS CONTABLES REALIZADOS;NÚMERO;103;168
001002;91101;01;03;CONTRATOS MENORES TRAMITADOS;NÚMERO;40;61
001002;91101;01;01;CONTRATOS TRAMITADOS POR PROCEDIMIENTO ABIERTO;NÚMERO;2;3
001002;91101;01;02;CONTRATOS TRAMITADOS POR PROCEDIMIENTO NEGOCIADO;NÚMERO;2;1
001002;91101;02;04;INSTALACIONES DE ELEMENTOS DE CONTROL DE OBJETOS Y PERSONAS (ARCOS / ESCÁNERES);NÚMERO;2;2
001002;91101;02;05;INSTALACIONES DE ELEMENTOS DE CONTROL DE ACCESOS Y SEGURIDAD (CÁMARAS);NÚMERO;30;30
001002;91101;02;03;INSTALACIONES DE ELEVACIÓN Y ELECTROMECÁNICAS CON MANTENIMIENTO;NÚMERO;2;2
001002;91101;02;02;SUPERFICIE CONSTRUIDA DE EDIFICIOS;M2;3564;3564
001002;91101;02;01;EDIFICIOS CON MANTENIMIENTO ADSCRITOS A LOS GRUPOS POLÍTICOS MUNICIPALES;NÚMERO;1;1
001002;92010;01;05;ACTUACIONES EN MATERIA DE GESTIÓN DE PERSONAL;NÚMERO;94;96
001002;92010;01;04;DOCUMENTOS CONTABLES REALIZADOS;NÚMERO;162;282
001002;92010;01;03;CONTRATOS MENORES TRAMITADOS;NÚMERO;60;62
001002;92010;01;02;CONTRATOS TRAMITADOS POR PROCEDIMIENTO NEGOCIADO;NÚMERO;2;2
001002;92010;01;01;CONTRATOS TRAMITADOS POR PROCEDIMIENTO ABIERTO;NÚMERO;2;4
001002;92010;02;01;EDIFICIOS CON MANTENIMIENTO A CARGO DE LA PRESIDENCIA DEL PLENO;NÚMERO;1;1
001002;92010;02;02;SUPERFICIE CONSTRUIDA DE EDIFICIOS CON MANTENIMIENTO A CARGO DE LA PRESIDENCIA DEL PLENO;M2;6505;6505
001002;92010;02;03;INSTALACIONES DE ELEVACIÓN Y ELECTROMECÁNICAS CON MANTENIMIENTO;NÚMERO;9;9
001002;92010;02;04;INSTALACIONES DE ELEMENTOS DE CONTROL DE OBJETOS Y PERSONAS (ARCOS / ESCÁNERES);NÚMERO;1;1
001002;92010;02;05;INSTALACIONES DE ELEMENTOS DE CONTROL DE ACCESOS Y SEGURIDAD (CÁMARAS);NÚMERO;144;144
001012;34102;01;02;ACITIVIDADES DIA DEL DEPORTES;NÚMERO;5;0
001012;34102;01;01;PROGRAMA DE ACTIVIDADES EN LA NIEVE;NÚMERO;4000;2513
001012;34102;02;01;GRUPOS ESCUELAS PROMOCION;NÚMERO;495;479
001012;34102;02;02;ALUMNOS ESCULAS PROMOCION;NÚMERO;7450;7543
001012;34102;02;03;MODALIDADES  DEPORTIVAS ESCUELAS PROMOCION;NÚMERO;17;17
001012;34102;02;04;GRUPOS (MODULOS)  ESCUELAS EN COLABORACION;NÚMERO;534;534
001012;34102;02;05;ALUMNOS ESCUELAS EN COLABORACION;NÚMERO;7600;8406
001012;34102;02;06;MODALIDADES DEPORTIVAS  ESCUELAS EN COLABORACION;NÚMERO;34;34
001012;34102;03;01;PARTICIPANTES EN AULAS DEPORTIVAS MUNICIPALES;NÚMERO;7500;7399
001012;34102;04;01;DEPORTISTAS EN LOS  JUEGOS DEPORTIVOS MUNICIPALES;NÚMERO;105000;117819
001012;34102;04;02;EQUIPOS EN JUEGOS DEPORTIVOS MUNICIPALES;NÚMERO;6100;5847
001012;34102;04;03;EQUIPOS DE TORNEOS MUNICIPALES;NÚMERO;2600;2155
001012;34102;04;04;DEPORTISTAS EN TORNEOS MUNICIPALES;NÚMERO;33500;29699
001012;34102;04;05;CONVENIOS PARA ARBITRAJES Y ACTUACIONES  EN COMPETICIONES;NÚMERO;21;21
001012;34102;05;03;MODALIDADES DEPORTIVAS CON ESCUELAS ADAPTADAS;NÚMERO;13;13
001012;34102;05;02;PARTICIPANTES EN LAS ESCUELAS DEPORTIVAS ADAPTADAS;NÚMERO;250;291
001012;34102;05;01;MODULO DE ESCUELAS ADAPTADAS;NÚMERO;45;45
001012;34102;06;01;COLUMNAS DE RESCATE CARDIACO;NÚMERO;54;54
001012;34102;06;02;PARTICIPANTES EN LAS ESCUELAS DEPORTIVAS ADAPTADAS;NÚMERO;10;10
001012;34102;07;01;CAMPAÑAS INFORMATIVAS;NÚMERO;6;8
001012;34102;07;02;DESARROLLO DE EVENTOS INSTITUCIONALES;NÚMERO;8;45
001012;34102;07;03;SOPORTES INFORMATIVOS Y DIVULGATIVOS;NÚMERO;1;10
001012;34102;07;04;SUSCRIPCIONES BOLETIN ELECTRÓNICO;NÚMERO;1550;1796
001012;34102;08;01;RECIBOS DOMICILIADOS;NÚMERO;37000;33300
001012;34102;08;02;PAGOS MEDIANTE TARJETA BANCARIA;NÚMERO;30000;39000
001012;34102;08;03;RECOGIDAS ANUALES DE METALICO;NÚMERO;2600;2932
001012;34102;08;04;EXPEDIENTES TRAMITADOS DE SOLICITUD DE DEVOLUCION DE INGRESO;NÚMERO;1000;1490
001012;34102;09;01;EVENTOS DEPORTIVOS DE GRAN RELEVANCIA PATROCINADOS;NÚMERO;14;16
001012;91200;01;09;CONTENIDOS PUBLICADOS EN LA WEB MUNICIPAL;NÚMERO;170;171
001012;91200;01;08;PUBLICACIONES EN BOLETINES OFICIALES;NÚMERO;180;268
001012;91200;01;07;ALEGACIONES A PROYECTOS NORMATIVOS PRESENTADAS;NÚMERO;3000;105
001012;91200;01;06;PROYECTOS NORMATIVOS TRAMITADOS;NÚMERO;50;44
001012;91200;01;05;INFORMACION  A  GRUPOS MUNICIPALES;NÚMERO;2400;2481
001012;91200;01;04;COMUNICACIONES A LA PRESIDENCIA DEL PLENO;NÚMERO;120;90
001012;91200;01;03;COMUNICACIONES A SECRETARIAS;NÚMERO;400;544
001012;91200;01;02;ACTAS DE LAS SESIONES;NÚMERO;50;51
001012;91200;01;01;EXPEDIENTES APROBADOS POR LA JUNTA DE GOBIERNO;NÚMERO;900;848
001012;91200;02;01;CONVENIOS REGISTRADOS;NÚMERO;500;564
001012;91200;03;01;CERTIFICACIONES EXPEDIDAS;NÚMERO;200;33
001012;91200;03;02;DOCUMENTOS AUTORIZADOS A LOS CIUDADANOS;NÚMERO;4000;5471
001012;91200;03;03;DECRETOS/RESOLUCIONES INCORPORADOS A LOS REGISTROS DE DECRETOS Y RESOLUCIONES;NÚMERO;2400;939
001012;92000;01;01;INFORMES EN MATERIA DE PERSONAL;NÚMERO;10;13
001012;92000;01;02;INFORMES DE EJECUCION PRESUPUESTARIA;NÚMERO;15;15
001012;92000;01;03;INFORMES DE SEGUIMIENTO DE CONTRATACION;NÚMERO;12;14
