Centro;Descripcion Centro;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Estado;Url_Fotografia
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;29;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VILLAVERDE INGENIEROS;2019;2022;;217;VILLAVERDE;La Pícara Molinera, 62;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;30;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 39A;2020;2022;;219;VICÁLVARO;Diálogo, 79;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;31;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 39B;2020;2022;;219;VICÁLVARO;Diálogo, 63;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;32;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 41B;2020;2022;;219;VICÁLVARO;Cerro del Tesoro, 31;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;33;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 30A;2020;2022;;219;VICÁLVARO;Miguel Delibes, 50;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;34;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 30D;2020;2022;;219;VICÁLVARO;Jose Escobar Y Saliente, 80;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;35;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 34B;2020;2022;;219;VICÁLVARO;Miguel Delibes, 65;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;36;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 5C;2020;2022;;219;VICÁLVARO;Arroyo Cañaveral, 75;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;37;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. T 6A;2020;2022;;219;VICÁLVARO;Enrique Urquijo, 81;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;38;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓNVICALVARO. T 6B;2020;2022;;219;VICÁLVARO;Enrique Urquijo, 91;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;39;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓNVICALVARO. T 10BC;2020;2022;;219;VICÁLVARO;Ilusión, 41;EN PROCESO;
001;AYUNTAMIENTO;2018/005057;PALACIO TORRE ARIAS. SUBSANACIÓN DE PATOLOGÍAS Y CONSOLIDACIÓN FORJADOS Y MUROS;2019;2020;;220;SAN BLAS-CANILLEJAS;Calle Rodriguez Ayuso,11;EN PROCESO;
001;AYUNTAMIENTO;2018/005072;CENTRO DEPORTIVO VICÁLVARO (MARGOT MOLES). SUBSANACIÓN DE PATOLOGÍAS EN GALERÍA PISCINA DE VERANO;2019;2020;;219;VICÁLVARO;Paseo del Polideportivo, 3;EN PROCESO;
001;AYUNTAMIENTO;2018/005145;ENTORNO DE LA AVDA. ARCENTALES . ADECUACIÓN DE VIALES;2019;2020;2020;220;SAN BLAS-CANILLEJAS;Calles Estocolmo, Manchester, Bélgica, Albania, San Petesburgo, Budapést, Bucarést, Moscú y  Av.luis Aragonés;FINALIZADO;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2020/2020_2018-005145_EntornoAVArcentales.jpg
001;AYUNTAMIENTO;2018/005157;CARRERA DE SAN JERÓNIMO, CEDACEROS, ARLABAN Y VIRGEN DE LOS PELIGROS. REMODELACIÓN;2020;2020;;201;CENTRO;CARRERA DE SAN JERÓNIMO, CEDACEROS, ARLABAN Y VIRGEN DE LOS PELIGROS;EN PROCESO;
001;AYUNTAMIENTO;2018/005233;JARDINES DEL BUEN RETIRO. REHABILITACIÓN INTEGRAL DEL PASEO DE MÉJICO;2020;2020;;203;RETIRO;Paseo de Méjico;EN PROCESO;
001;AYUNTAMIENTO;2018/006011;CENTRO DEPORTIVO MUNICIPAL JOSÉ MARÍA CAGIGAL. REHABILITACIÓN;2018;2020;2020;209;MONCLOA-ARAVACA;Calle Santa Pola, 22;FINALIZADO;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2020/2020_2018-006011%20CDMJMCagigalRehabilitacII.jpg
001;AYUNTAMIENTO;2018/006012;ESCUELA INFANTIL C/ RODAS, 20-22. CONSTRUCCIÓN;2018;2020;;201;CENTRO;Calle Rodas, 20-22;EN PROCESO;
001;AYUNTAMIENTO;2020/000044;APARCAMIENTO DISUASORIO EN SUPERFICIE PITIS. CONSTRUCCIÓN;2018;2020;;208;FUENCARRAL-EL PARDO;Calle Gloria Fuertes, 191, 28049 Madrid;EN PROCESO;
001;AYUNTAMIENTO;2020/000268;CENTRO DEPORTIVO JOSÉ MARÍA CAGIGAL. SUBSANACIÓN PATOLOGÍAS VESTUARIOS Y PABELLÓN;2020;2020;;209;MONCLOA-ARAVACA;Calle Santa Pola, 22;EN PROCESO;
001;AYUNTAMIENTO;2020/000289;APARCAMIENTO DISUASORIO EN SUPERFICIE FUENTE DE LA MORA. CONSTRUCCIÓN;2018;2020;;216;HORTALEZA;Calle Dulce Chacón, 15, 28050 Madrid;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;12;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN NTRA. SRA. DE LOS ANGELES 11;2017;2020;2020;213;PUENTE DE VALLECAS;Montes Universales;FINALIZADO;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2020/2020_12_NtraSraAngeles11.jpg
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;13;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN NTRA. SRA. DE LOS ANGELES 12;2017;2020;2020;213;PUENTE DE VALLECAS;Martínez de la Riva, 108 y Pico Teide, 4;FINALIZADO;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2020/2020_13_NtraSraAngeles12.jpg
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;14;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN LA ROSILLA 4;2018;2021;;218;VILLA DE VALLECAS;Sitio del Baler;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;19;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN MENDEZ ALVARO NORTE 3;2017;2020;2020;202;ARGANZUELA;Alamedilla, 25 al 33 y Garganta de los Montes, 2 y 4;FINALIZADO;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2020/2020_19_MendezAlvaro3.jpg
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;21;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN SAN FRANCISCO JAVIER VI;2017;2021;;213;PUENTE DE VALLECAS;Plaza de la Peña gudina, 8 al 11 y Martínez de la Riva, 135;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;22;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN CARABANCHEL 29;2017;2021;;211;CARABANCHEL;Calle de la Corona, 11 y 13 y  Avenida del Euro, 41;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;23;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN NTRA. SRA. DE LOS ANGELES 4;2019;2022;;213;PUENTE DE VALLECAS;Puerto de la Bonaigua;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;24;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN LA ROSILLA 1;2019;2022;;218;VILLA DE VALLECAS;El Sitio de Baler Nº 1 A 11 Y Crta. Villaverde A Vallecas Nº 290;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;25;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN LA ROSILLA 2;2019;2022;;218;VILLA DE VALLECAS;El Sitio del baler;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;26;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN LA ROSILLA 3;2019;2022;;218;VILLA DE VALLECAS;El Sitio del baler;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;27;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO M5A;2019;2022;;219;VICÁLVARO;Enrique Urquijo, 90;EN PROCESO;
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;28;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO M5B;2019;2022;;219;VICÁLVARO;Francisco Grande Covian, 170;EN PROCESO;
001;AYUNTAMIENTO;2009/000430;BIBLIOTECA MUNICIPAL EN BARRIO DE SAN FERMÍN. CONSTRUCCIÓN;2009;2021;;212;USERA;Avenida De San Fermín, 8 Y 10;EN PROCESO;
001;AYUNTAMIENTO;2015/000207;PLAZA DE ESPAÑA. OBRAS DE REMODELACIÓN;2017;2021;;201 (35%) - 209 (65%);MONCLOA-ARAVACA - CENTRO;PLAZA DE ESPAÑA;EN PROCESO;
001;AYUNTAMIENTO;2015/000215;COLECTOR DOBLADO DE VICÁLVARO. CONSTRUCCIÓN;2016;2022;;219;VICÁLVARO;Los Berrocales. Carretera M-203, Junto A La Ermita 40º23'11'' N 3º34'32''o;EN PROCESO;
001;AYUNTAMIENTO;2015/000216;DRENAJE VÍA DE SERVICIO DE LA N-III A LA ALTURA DEL ENSANCHE DE VALLECAS;2016;2021;;219;VICÁLVARO;Ámbito Uzpp 2.04 Los Berrocales;EN PROCESO;
001;AYUNTAMIENTO;2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;2016;2022;;219;VICÁLVARO;Inicio Del Cauce Del Arroyo En Ámbito Uzpp 2.04 Los Berrocales Hasta Las Inmediaciones De La A3;EN PROCESO;
001;AYUNTAMIENTO;2016/000341;INSTALACIÓN DEPORTIVA ENSANCHE DE VALLECAS (PAU VALLECAS). CONSTRUCCIÓN;2017;2020;;218;VILLA DE VALLECAS;Calle josé Gutierrez Maroto 34 C/V Avenida Cerro Milano;EN PROCESO;
001;AYUNTAMIENTO;2016/000427;CENTRO CULTURAL EN VALDERRIVAS, C/ TITANIO. CONSTRUCCIÓN;2017;2022;;219;VICÁLVARO;Calle Titanio,5 C/V Ribas De Jarama;EN PROCESO;
001;AYUNTAMIENTO;2016/000470;CENTRO DEPORTIVO C/COSTANILLA DESAMPARADOS, 15 C/V A C/FÚCAR, 6. CONSTRUCCIÓN;2018;2022;;201;CENTRO;Calle Costanilla De Los Desamparados, 15;EN PROCESO;
001;AYUNTAMIENTO;2016/000519;APR 13.01 SIERRA TOLEDANA. URBANIZACIÓN;2019;2021;;213;PUENTE DE VALLECAS;Calles Doctor Lozano, Pico Cuadramón, Baltasar Santos, Ruzafa, Fernando Pastor, Pico Anayet, Garganta De Aisa, Pico Veleta, Patio De Santiago Y Sierra Toledana. Distrito Puente De Vallecas;EN PROCESO;
001;AYUNTAMIENTO;2016/000533;CENTRO DEPORTIVO LA CEBADA. CONSTRUCCIÓN;2017;2021;;201;CENTRO;Plaza De La Cebada, 1;EN PROCESO;
001;AYUNTAMIENTO;2016/000537;CENTRO JUVENIL ZOFIO. CONSTRUCCIÓN;2017;2021;;212;USERA;Calle Avena, 5 Y 7;EN PROCESO;
001;AYUNTAMIENTO;2016/000538;CENTRO DE SERVICIOS SOCIALES ENSANCHE DE VALLECAS. CONSTRUCCIÓN;2017;2021;;218;VILLA DE VALLECAS;Avenida Ensanche De Vallecas, 91;EN PROCESO;
001;AYUNTAMIENTO;2016/000724;PASARELA PEATONAL ACCESO CERCANÍAS SAN CRISTÓBAL DE LOS ÁNGELES DESDE Bº DE BUTARQUE;2018;2021;;217;VILLAVERDE;ACCESO CERCANÍAS SAN CRISTÓBAL DE LOS ÁNGELES;EN PROCESO;
001;AYUNTAMIENTO;2016/000833;PARQUE DE LA GAVIA, DISTRITO VILLA DE VALLECAS. OBRAS DE REHABILITACIÓN;2017;2021;;218;VILLA DE VALLECAS;Avenida Del Mayorazgo, 24;EN PROCESO;
001;AYUNTAMIENTO;2017/000187;CENTRO DE MAYORES Y OTROS USOS POLIVALENTES C/ BRONCE. CONSTRUCCIÓN;2018;2021;;202;ARGANZUELA;Calle Bronce, 16 C/V Calle Cromo;EN PROCESO;
001;AYUNTAMIENTO;2017/000189;UNIDAD INTEGRAL POLICÍA DISTRITO RETIRO Y BASE DEL SAMUR. CONSTRUCCIÓN;2017;2021;;203;RETIRO;Calle hoyuelo, 7;EN PROCESO;
001;AYUNTAMIENTO;2017/000191;PISCINA CUBIERTA C/CEA BERMUDEZ. CONSTRUCCIÓN;2018;2020;;207;CHAMBERÍ;Calle Cea Bermudez 3 Y 5;EN PROCESO;
001;AYUNTAMIENTO;2017/000195;EDIFICIO DOTACIONAL C/EDUARDO MORALES,28(CENTRO SERVICIOS SOCIALES VISTA ALEGRE).CONSTRUCCIÓN;2018;2020;;211;CARABANCHEL;Calle Eduardo Morales, 28;EN PROCESO;
001;AYUNTAMIENTO;2017/000242;PARQUE CUÑA VERDE O'DONNELL. AMPLIACIÓN;2018;2022;;214;MORATALAZ;Calle José Bergamín C/v Calle Fuente Carrantona;EN PROCESO;
001;AYUNTAMIENTO;2017/000317;BIBLIOTECA DE VILLAVERDE. CONSTRUCCIÓN;2019;2022;;217;VILLAVERDE;Calle Calcio, 1;EN PROCESO;
001;AYUNTAMIENTO;2017/000597;CENTRO DE SERVICIOS SOCIALES EN SAN BLAS, C/POBLADURA DEL VALLE, 13. CONSTRUCCIÓN;2018;2021;;220;SAN BLAS-CANILLEJAS;Calle Pobladura Del Valle, 13;EN PROCESO;
001;AYUNTAMIENTO;2018/001065;CASA DE LA JUVENTUD C/ RÍO ESMERALDA, 15. CONSTRUCCIÓN;2019;2021;;213;PUENTE DE VALLECAS;Calle Río Esmeralda, 15 C/V Golfo De Dorien;EN PROCESO;
001;AYUNTAMIENTO;2018/001118;CENTRO MAYORES Y SERVICIOS SOCIALES C/CANAL DE PANAMÁ C/V.CANAL MOZAMBIQUE . CONSTRUCCIÓN;2018;2022;;215;CIUDAD LINEAL;Calle Panamá, 17 C/V Canal De Mozambique;EN PROCESO;
001;AYUNTAMIENTO;2018/008294;ESCUELA INFANTIL EN CANILLEJAS. CONSTRUCCIÓN (ID 18: 539);2019;2022;;220;SAN BLAS-CANILLEJAS;Calle josefa Valcarcel, 21 (junto Intercambiador Canillejas);EN PROCESO;
001;AYUNTAMIENTO;2019/000217;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ. SISTEMAS DE DESODORIZACIÓN BIOMETANIZACION;2020;2024;;218;VILLA DE VALLECAS;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;EN PROCESO;
001;AYUNTAMIENTO;2019/000219;PLANTA BIOMETANIZACIÓN LAS DEHESAS . ADAPTACIÓN A RESIDUOS FORS;2019;2020;2020;218;VILLA DE VALLECAS;Cañada Real de Merinas s/n. Parque Tecnológico de Valdemingómez;FINALIZADO;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2020/2020_2019-000219_ResiduosPlantaDehesas.jpg
