Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2022;Gasto ejecutado año en curso;Importe 2023;Importe 2024;Importe 2025;Resto Anualidades;Gasto ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_fotografia;Fecha de los datos
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2019/000302;CENTRO DE SERVICIOS SOCIALES SAN DIEGO. AMPLIACIÓN;2019;2022;2022;213;PUENTE DE VALLECAS;CALLE JAVIER DE MIGUEL, 10 C/V SAN DIEGO,8 C/V PUERTO BONAIGUA;CALLE;CALLE JAVIER DE MIGUEL, 10 C/V SAN DIEGO,8 C/V PUERTO BONAIGUA;;40.3886611;-3.6658291;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;1378420,9100000001;1543205;2159668,42;;;;;3538089,33;3538089,33;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2019-000302_CSS._SAN_DIEGO._AMPLIACION.jpg;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2017/007121;PARQUE SAN ISIDRO. REHABILITACIÓN (ID 17: 4302);2017;2022;2022;211;CARABANCHEL;PASEO 15 DE MAYO Y PASEO ERMITA DEL SANTO C/V CALLE VÍA CARPETANA;PASEO;PASEO 15 DE MAYO Y PASEO ERMITA DEL SANTO C/V CALLE VÍA CARPETANA;;40.4006829;-3.7272645;09;MEDIO AMBIENTE;203400,53999999998;3019590;2459258,23;;;;;2662658,77;2662658,77;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2017-007121_PARQUE_SAN_ISIDRO.jpg;2023-02-23
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2017/000597;CENTRO DE SERVICIOS SOCIALES EN SAN BLAS, C/POBLADURA DEL VALLE, 13. CONSTRUCCIÓN;2018;2022;2022;220;SAN BLAS-CANILLEJAS;CALLEPOBLADURA DEL VALLE, 13;CALLE;POBLADURA DEL VALLE;13;40.4263129;-3.6220081;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;2769554,56;186164;2187354,7099999995;;;;;4956909,27;4956909,27;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2017-000597_CSS_POBLADURA_DEL_VALLE.jpg;2023-02-23
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2017/000191;PISCINA CUBIERTA C/CEA BERMUDEZ. CONSTRUCCIÓN;2018;2022;2022;207;CHAMBERÍ;CALLE CEA BERMUDEZ 3 Y 5;CALLE;CEA BERMUDEZ;3 y 5;40.4385953;-3.7083185;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;4834596,5;2237542,89;2237525,0600000005;;;;;7072121,5600000005;7072121,5600000005;FINALIZADO;Importe 2022 es el crédito definitivo contabilizado a 31.12.2022;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2017-000191_PISCINA_CUBIERTA_CEA_BERMUDEZ.jpg;2023-02-23
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2017/000189;UNIDAD INTEGRAL POLICÍA DISTRITO RETIRO Y BASE DEL SAMUR. CONSTRUCCIÓN;2017;2022;2022;203;RETIRO;CALLE HOYUELO, 7;CALLE;HOYUELO;7;40.4009974;-3.6784228;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;3868149,2699999996;1418815;2219828,2;;;;;6087977,47;6087977,47;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2017-000189_UID_POLICIA_Y_(SAMUR)_RETIRO.jpg;2023-02-23
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000724;PASARELA PEATONAL ACCESO CERCANÍAS SAN CRISTÓBAL DE LOS ÁNGELES DESDE Bº DE BUTARQUE;2018;2022;2022;217;VILLAVERDE;ACCESO CERCANÍAS SAN CRISTÓBAL DE LOS ÁNGELE;;ACCESO CERCANÍAS SAN CRISTÓBAL DE LOS ÁNGELE;;40.3403167;-3.6832757;07;INFRAESTRUCTURAS;1610836,9000000001;1294554;2830236,04;;;;;4441072,94;4441072,94;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2016-000724_PASARELA_CERCANIAS_SAN_CRISTOBAL.jpg;2023-02-23
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000538;CENTRO DE SERVICIOS SOCIALES ENSANCHE DE VALLECAS. CONSTRUCCIÓN;2017;2022;2022;218;VILLA DE VALLECAS;AVENIDA ENSANCHE DE VALLECAS, 91;AVENIDA;ENSANCHE DE VALLECAS;91;40.3624877;-3.5997148;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;6584730,1;1187664,46;1187663,1400000006;;;;;7772393,24;7772393,24;FINALIZADO;Importe 2022 es el crédito definitivo contabilizado a 31.12.2022;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2016-000538_CSS_ENSANCHE_DE_VALLECAS.jpg;2023-02-23
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000537;CENTRO JUVENIL ZOFIO. CONSTRUCCIÓN;2017;2022;2022;212;USERA;CALLE AVENA, 5 Y 7;CALLE;AVENA;5 y 7;40.37754434245922;-3.715659804601842;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;6375756,47;55000;558688,2000000002;;;;;6934444,67;6934444,67;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2016-000537_CENTRO_JUVENIL_ZOFIO.jpg;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2015/000216;DRENAJE VÍA DE SERVICIO DE LA N-III A LA ALTURA DEL ENSANCHE DE VALLECAS;2016;2022;2022;219;VICÁLVARO;ÁMBITO UZPP 2.04 LOS BERROCALES;;ÁMBITO UZPP 2.04 LOS BERROCALES;;40.37375603346773;-3.5974301000917963;09;MEDIO AMBIENTE;1513989,72;1757411;1891737,1199999999;;;;;3405726,84;3405726,84;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2015-000216_DRENAJE_VIA_SERVICIO_N-III_ENSANCHE_VALLECAS.jpg;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2015/000215;COLECTOR DOBLADO DE VICÁLVARO. CONSTRUCCIÓN;2016;2022;2022;219;VICÁLVARO;LOS BERROCALES. CARRETERA M-203, JUNTO A LA ERMITA ;;LOS BERROCALES. CARRETERA M-203, JUNTO A LA ERMITA;;40.386389;-3.575556;09;MEDIO AMBIENTE;10486151,63;3570164;3217463,92;;;;;13703615,55;13703615,55;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2015-000215_COLECTOR_DOBLADO_VICALVARO.jpg;2023-02-23
