Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2023;Gasto ejecutado año en curso;Importe 2024;Importe 2025;Importe 2026;Resto Anualidades;Gasto ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_fotografia;Fecha de los datos;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000399;PARQUE DE BOMBEROS Nº 5. OBRAS DE REFORMA INTEGRAL;2021;2023;;212;USERA;PASEO SANTA MARÍA DE LA CABEZA, 95;PASEO DE;SANTA MARÍA DE LA CABEZA;95;40.3922859;-3.7089303;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;6771261,52;2398535,26;2398533,93;;;;;9169795,45;9169796,78;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000402;PARQUE DE BOMBEROS Nº 1. OBRAS DE REFORMA Y ADECUACIÓN;2021;2023;;207;CHAMBERÍ;CALLE DE SANTA ENGRACIA 116, 118 Y 120;CALLE;SANTA ENGRACIA;116, 118, 120;40.44038738649969;-3.7007173334334205;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1554074,13;359089,23;108948,09;;;;;1663022,22;1913163,36;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000406;EDIFICIO POLICÍA MUNICIPAL C/ PLOMO, 14. OBRAS DE REHABILITACIÓN PARCIAL;2021;2024;;202;ARGANZUELA;C/PLOMO, 14;CALLE;PLOMO;14;40.39281490540317;-3.689732618094451;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;6215082,20;2091917,83;2091759,98;995000,00;;;;8306842,18;9302000,03;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000418;BASE 0 SAMUR-PROTECCIÓN CIVIL. OBRAS DE REFORMA;2022;2023;;209;MONCLOA-ARAVACA;RONDA DE LAS PROVINCIAS, 7;RONDA;DE LAS PRONVINCIAS;7;40.41176384535083;-3.743862787553562;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;749670,22;1753326,17;1525194,80;;;;;2274865,02;2502996,39;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000425;PARQUE 9 BOMBEROS. OBRAS PARA INSTALACIÓN DE CAMPA PROVISIONAL;2022;2023;2023;208;FUENCARRAL-EL PARDO;AVENIDA MONFORTE DE LEMOS, 20;AVENIDA;MONFORTE DE LEMOS;20;40.48022515029228 ;-3.6996125875510923;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1708903,51;1320526,74;1320526,74;;;;;3029430,25;3029430,25;FINALIZADO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2023/2023_2022-000425_CampaParque9º.jpg;05/01/2024;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2023/000384;ESCUADRÓN DE LA POLICÍA MUNICIPAL. OBRAS REFORMA DE LA CANTINA;2023;2024;;209;MONCLOA-ARAVACA;CARRETERA DEL PARDO, 3;CARRETERA;DEL PARDO;3;40.47745229980593;-3.7513272182341164;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;;;1100000,00;;;;0,00;1100000,00;EN PROCESO;Presupuesto 2022 Prorrogado, Pendiente habilitar crédito en 2023;;05/01/2024;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2023/001530;PARQUE DE BOMBEROS Nº 9. OBRAS REFORMA Y AMPLIACIÓN EN SÓTANO, EDIFICIO GIMNASIO Y COCHERAS TRASERAS;2023;2025;;208;FUENCARRAL-EL PARDO;AVENIDA MONFORTE DE LEMOS, 20;AVENIDA;MONFORTE DE LEMOS;20;40.480208828940015 ;-3.69961258755109232;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;151431,62;42512,81;3428129,00;402153,00;;;42512,81;3981713,62;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2023/000387;UNIDAD INTEGRAL POLICÍA MUNICIPAL USERA. OBRAS DE REHABILITACIÓN;2023;2024;;212;USERA;C/DOCTOR TOLOSA LATOUR, 16;CALLE;DOCTOR TOLOSA LATOUR;16;40.3759435930581 ;-3.702718487554872;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;;;1200000,00;;;;0,00;1200000,00;EN PROCESO;Presupuesto 2022 Prorrogado, Pendiente habilitar crédito en 2023;;05/01/2024;;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2018/006051;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";2018;2023;;221;BARAJAS;PASEO ALAMEDA DE OSUNA, 25;PASEO;ALAMEDA DE OSUNA;25;40.4547855;-3.6019412;10;CULTURA;2714294,83;2163782,70;2159975,90;;;;;4874270,73;4878077,53;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024;;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2019/000527;MUSEO DE SAN ISIDRO. OBRAS DE ADECUACIÓN PARA SOSTENIBILIDAD;2021;2024;;201;CENTRO;PLAZA SAN ANDRÉS, 2;PLAZA;SAN ANDRÉS;2;40.4120708;-3.7132821;10;CULTURA;108462,67;6931,13;6931,13;1500000,00;;;;115393,80;1615393,80;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024;;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2020/000043;CASA DE VARGAS. REHABILITACIÓN CASA-PALACIO Y JARDÍN DE FELIPE II;2020;2025;;209;MONCLOA-ARAVACA;PASEO DEL EMBARCADERO, 2;PASEO DEL;DEL EMBARCADERO;2;40.4191125;-3.7256439;10;CULTURA;642131,32;99951,11;73485,29;2500000,00;;;;715616,61;3242082,43;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024;;;
