CeGe;Prog. Finan.;Objetivo;Indicador;DescripciÛn Indicador;Unidad de medida;Presupuestado
001100;91216;01;01;REUNIONES;N⁄MERO/A—O;250
001100;91216;01;02;BORRADORES ORDEN DEL DÕA ELABORADOS;N⁄MERO/A—O;34
001100;91216;01;03;JUNTAS DE PORTAVOCES;N⁄MERO/A—O;17
001100;91216;02;01;RETRATOS GALERIA DE REGIDORES;N⁄MERO;1
001100;91216;02;02;RESTAURACION LAMPARAS CASA CISNEROS;N⁄MERO;5
001100;91230;01;01;SESIONES DEL PLENO;N⁄MERO/A—O;17
001100;91230;01;02;SESIONES DE LAS COMISIONES DEL PLENO;N⁄MERO/A—O;112
001100;91230;01;03;RETRANSMISI”N SOBRE SESIONES COMISIONES PERMANENTES EFECTIVAMENTE REALIZADAS;PORCENTAJE;100
001100;91230;01;04;RETRANSMISI”N SOBRE SESIONES COMISIONES NO PERMANENTES EFECTIVAMENTE REALIZADAS;PORCENTAJE;100
001100;91230;01;05;RESOLUCIONES RELATIVAS AL PLENO Y SUS COMISIONES;N⁄MERO/A—O;150
001100;91230;01;06;RETRANSMISI”N SOBRE SESIONES DEL PLENO EFECTIVAMENTE REALIZADAS;PORCENTAJE;100
001100;91230;02;01;ACTUALIZACIONES DE LA INFORMACI”N;N⁄MERO/A—O;1725
001100;91230;02;02;DOCUMENTOS ACCESIBLES A TRAV…S DE LA WEB;N⁄MERO/A—O;8000
001100;91230;03;07;ANOTACIONES EN EL REGISTRO DE CAUSAS DE POSIBLE INCOMPATIBILIDAD Y DE ACTIVIDADES DE LOS CONCEJALES;N⁄MERO/A—O;60
001100;91230;03;06;ANOTACIONES EN EL REGISTRO DE BIENES PATRIMONIALES DE LOS CONCEJALES;N⁄MERO/A—O;70
001100;91230;03;05;INCORPORACI”N DE DOCUMENTACI”N ASOCIADA A LOS ASIENTOS DEL REGISTRO DE DISTINCIONES HONORÕFICAS;N⁄MERO/A—O;110
001100;91230;03;04;ANOTACIONES DE DISTINCIONES CONCEDIDAS EN EL REGISTRO DE DISTINCIONES HONORÕFICAS;N⁄MERO/A—O;20
001100;91230;03;03;INCORPORACI”N DE DOCUMENTACI”N ASOCIADA A LOS ASIENTOS DEL REGISTRO DEL PLENO;N⁄MERO/A—O;2900
001100;91230;03;02;ASIENTOS DE SALIDA EN EL REGISTRO DEL PLENO;N⁄MERO/A—O;150
001100;91230;03;01;ASIENTOS DE ENTRADA EN EL REGISTRO DEL PLENO;N⁄MERO/A—O;1700
001100;91230;04;01;CONTRATOS MENORES TRAMITADOS;N⁄MERO/A—O;42
001100;91230;04;02;DOCUMENTOS CONTABLES REALIZADOS;N⁄MERO/A—O;270
001100;91230;04;03;ACTUACIONES EN MATERIA DE GESTI”N DE PERSONAL;N⁄MERO/A—O;300
001100;91230;05;09;CONTRATOS TRAMITADOS POR PROCEDIMIENTO ABIERTO;N⁄MERO/A—O;3
001100;91230;05;08;HOMBRES EMPLEADOS EN PUESTOS DE COORDINACI”N;N⁄MERO;5
001100;91230;05;07;MUJERES EMPLEADAS EN PUESTOS DE COORDINACI”N;N⁄MERO;1
001100;91230;05;06;HOMBRES EMPLEADOS POR LAS EMPRESAS ADJUDICATARIAS;N⁄MERO;10
001100;91230;05;05;MUJERES EMPLEADAS POR LAS EMPRESAS ADJUDICATARIAS;N⁄MERO;12
001100;91230;05;04;INSTALACIONES DE ELEMENTOS DE CONTROL DE ACCESO Y SEGURIDAD;N⁄MERO/A—O;142
001100;91230;05;03;INSTALACIONES DE ELEMENTOS DE CONTROL DE OBJETOS Y PERSONAS;N⁄MERO/A—O;2
001100;91230;05;02;INSTALACIONES DE ELEVACI”N Y ELECTROMEC¡NICAS CON MANTENIMIENTO;N⁄MERO/A—O;9
001100;91230;05;01;EDIFICIO CON MANTENIMIENTO INTEGRAL Y LIMPIEZA SEDE DE LA PRESIDENCIA DEL PLENO;N⁄MERO/A—O;1
001100;91240;01;01;CONTRATOS MENORES TRAMITADOS;N⁄MERO/A—O;21
001100;91240;01;02;DOCUMENTOS CONTABLES REALIZADOS;N⁄MERO/A—O;170
001100;91240;02;01;EDIFICIO CON MANTENIMIENTO INTEGRAL Y LIMPIEZA ADSCRITO A LOS GRUPOS POLÕTICOS MUNICIPALES;N⁄MERO/A—O;1
001100;91240;02;02;INSTALACIONES DE ELEVACI”N Y ELECTROMEC¡NICAS CON MANTENIMIENTO;N⁄MERO/A—O;2
001100;91240;02;03;INSTALACIONES DE ELEMENTOS DE CONTROL DE OBJETOS Y PERSONAS;N⁄MERO/A—O;2
001100;91240;02;04;INSTALACIONES DE ELEMENTOS DE CONTROL DE ACCESO Y SEGURIDAD;N⁄MERO/A—O;34
001100;91240;02;05;MUJERES EMPLEADAS POR LAS EMPRESAS ADJUDICATARIAS;N⁄MERO;12
001100;91240;02;06;HOMBRES EMPLEADOS POR LAS EMPRESAS ADJUDICATARIAS;N⁄MERO;10
001100;91240;02;07;MUJERES EMPLEADAS EN PUESTOS DE COORDINACI”N;N⁄MERO;1
001100;91240;02;08;HOMBRES EMPLEADOS EN PUESTOS DE COORDINACI”N;N⁄MERO;5
001101;91201;01;01;Reuniones;N⁄MERO;350
001101;91201;01;02;Plenos;N⁄MERO;16
001101;91201;01;03;Juntas de Gobierno presididas;N⁄MERO;45
001102;49101;01;;;;0
001102;49102;01;06;DiseÒo y puesta en marcha de espacios urbanos inteligentes;N⁄MERO;2
001102;49102;01;05;IdentificaciÛn casos uso innovadores para fomento govtech;N⁄MERO;4
001102;49102;01;04;Iniciativas de capacitacion e inclusiÛn en transf. digital;N⁄MERO;25
001102;49102;01;03;Reforzar la difusiÛn transf. digital ayto.;N⁄MERO;35
001102;49102;01;02;DiseÒo proyectos desarrollo soluciones basadas en tecnol. 5g;N⁄MERO;4
001102;49102;01;01;ImplantaciÛn de proyectos en materia de transf. digital y adm.;N⁄MERO;9
001102;49102;02;01;Impulso proyectos de la estrategia datos del ayto. Madrid y sus oopp.;N⁄MERO;5
001102;49102;02;02;ImplantaciÛn de la herramienta del gobierno del dato;N⁄MERO;50
001102;49102;02;03;Participacion en jornadas sobre inteligencia artificial, gestiÛn de datos y analitica;N⁄MERO;20
001102;49102;02;04;Participacion grupos nacionales e internac. de inteligencia artificial y analÌtica datos;N⁄MERO;8
001102;49102;02;05;ElaboraciÛn y difusiÛn de indicadores de admÛn. digital;N⁄MERO;8
001102;49102;02;06;CoordinaciÛn e impulso de proyectos de inteligencia artificial del ayto. Madrid y sus oopp.;N⁄MERO;5
001102;49102;03;01;Desarrollo de proyectos de digitalizaciÛn y automatizaciÛn;N⁄MERO;5
001102;49102;03;02;Auditorias y servicios en la plat. intermediaciÛn datos;N⁄MERO;5
001102;49102;03;03;Proyectos sede electrÛnica y carpeta ciudadano;N⁄MERO;2
001102;49102;03;04;Actuaciones atenciÛn y asesoramiento ciudadanos y gestores;N⁄MERO;6000
001102;49102;03;05;Mejoras y nuevas gestiones en ayre y portal personal jubilado;N⁄MERO;5
001102;49102;03;06;ElaboraciÛn de informes de simplificaciÛn de procedimientos y formularios tramitaciÛn;N⁄MERO;100
001102;49179;01;;;;0
001102;91202;01;01;ACTIVIDADES PROGRAMADAS EN AGENDA;N⁄MERO;600
001102;91202;01;02;ACTIVIDADES DE COORDINACI”N CON GABINETES DE LAS ¡REAS DE GOBIERNO;N⁄MERO;250
001102;91202;01;03;MINUTAS E INFORMES DE ASESORAMIENTO;N⁄MERO;550
001102;91202;01;04;COMUNICACIONES, PETICIONES Y ESCRITOS GESTIONADOS;N⁄MERO;6500
001102;92002;01;03;PROPUESTAS;N⁄MERO;45
001102;92002;01;02;INFORMES;N⁄MERO;90
001102;92002;01;01;ESTUDIOS;N⁄MERO;80
001102;92002;02;01;ESTUDIOS Y AN¡LISIS;N⁄MERO;60
001102;92002;02;02;ELABORACI”N DE PROPUESTAS;N⁄MERO;20
001102;92009;01;01;PLEITOS;N⁄MERO;15000
001102;92009;01;02;INFORMES;N⁄MERO;2300
001102;92009;01;03;EXPEDIENTES DE BASTANTEOS;N⁄MERO;600
001102;92012;01;01;EXPEDIENTES DE PROVISI”N DE PUESTOS DE TRABAJO;N⁄MERO;170
001102;92012;01;02;RELACIONES DE PUESTOS DE TRABAJO ELABORADAS;N⁄MERO;15
001102;92012;01;03;EXPEDIENTES DE CONCESI”N DE FLEXIBILIDAD HORARIA;N⁄MERO;80
001102;92012;02;01;EXPEDIENTES DE CONTRATACI”N;N⁄MERO/A—O;5
001102;92012;02;02;TRAMITACI”N DE CONTRATOS MENORES;N⁄MERO/A—O;85
001102;92012;02;03;DISMINUCI”N DE INCIDENCIAS DE INSCRIPCIONES EN REGISTRO DE CONTRATOS;N⁄MERO/A—O;5
001102;92012;03;01;EXPEDIENTES DE CONTRATACI”N QUE INCLUYAN CL¡USULAS SOCIALES;N⁄MERO/A—O;5
001102;92012;04;01;N⁄MERO DE EMPRESAS ADJUDICATARIAS DE LAS QUE SE OBTIENE INFORMACI”N;N⁄MERO/A—O;5
001102;92012;05;05;OTROS EXPEDIENTES DE GESTI”N PRESUPUESTARIA;N⁄MERO/A—O;18
001102;92012;05;04;EXPEDIENTES DE GASTO POR ANTICIPO DE CAJA FIJA;N⁄MERO/A—O;250
001102;92012;05;03;DOCUMENTOS CONTABLES;N⁄MERO/A—O;325
001102;92012;05;02;MODIFICACIONES DE CR…DITO;N⁄MERO/A—O;15
001102;92012;05;01;INFORMES DE SEGUIMIENTO DE LA EJECUCI”N DEL PRESUPUESTO;N⁄MERO/A—O;200
001102;92012;06;01;MANTENIMIENTO DE LOS EDIFICIOS ADSCRITOS;M2;16826
001102;92012;06;02;CONTRATOS GESTIONADOS A TRAV…S DEL SISTEMA DE COMPRAS CENTRALIZADAS;N⁄MERO;30
001102;92012;06;03;MONTAJE DE ACTOS P⁄BLICOS;N⁄MERO;300
001102;92012;06;04;ACTUACIONES DE R…GIMEN INTERIOR;N⁄MERO;3500
001102;92012;06;05;PLIEGOS DE PRESCRIPCIONES T…CNICAS DE CONTRATOS ELABORADOS;N⁄MERO;5
001102;92012;07;01;INFORMES JURÕDICOS;N⁄MERO;40
001102;92012;07;02;EXPEDIENTES DE SUBVENCIONES Y CONVENIOS;N⁄MERO;30
001102;92012;07;03;ACUERDOS DE JUNTA DE GOBIERNO Y DE PLENO;N⁄MERO;60
001102;92012;07;04;INSCRIPCIONES LIBRO DE RESOLUCIONES;N⁄MERO;200
001102;92012;07;05;GESTI”N DE LA OFICINA DE REGISTRO DE ACREDITACI”N DE FIRMA ELECTR”NICA;N⁄MERO;50
001102;92012;07;06;SOLICITUDES DE ACCESO A LA INFORMACI”N P⁄BLICA;N⁄MERO;15
001102;92012;08;01;ANOTACIONES REGISTRO;N⁄MERO/A—O;11000
001102;92206;01;01;Reuniones y sesiones en grupos de trabajo;N⁄MERO;400
001102;92207;01;01;PARTICIPACI”N EN ACTIVIDADES DE INSTITUCIONES DE LA UE;N⁄MERO;15
001102;92207;01;02;PARTICIPACI”N EN ORGANISMOS Y ASOCIACIONES INTERNACIONALES Y NACIONALES;N⁄MERO;15
001102;92207;01;03;PARTICIPACI”N EN FOROS Y REUNIONES INTERNACIONALES Y NACIONALES;N⁄MERO;20
001102;92207;01;04;CELEBRACI”N DE ENCUENTROS Y REUNIONES INTERNACIONALES EN MADRID;N⁄MERO;10
001102;92207;02;01;COLABORACIONES CON REPRESENTACIONES DIPLOM¡TICAS EXTRANJERAS ACREDITADAS EN ESPA—A;N⁄MERO;100
001102;92207;02;02;VISITAS DE DELEGACIONES EXTRANJERAS;N⁄MERO;70
001102;92207;02;03;ACTIVIDADES CON OTRAS CIUDADES 0 PAÕSES;N⁄MERO;10
001102;92207;02;04;ENCUENTROS INSTITUCIONALES INTERNACIONALES;N⁄MERO;50
001102;92207;03;01;N⁄MERO DE CONTRATOS EN LOS QUE SE INCLUYE CL¡USULAS DE IGUALDAD;N⁄MERO;2
001102;92207;04;01;DOCUMENTOS ANALIZADOS;N⁄MERO;50
001102;92402;01;08;CampaÒa de promociÛn de la colaboraciÛn p˙blico privada;N⁄MERO;1
001102;92402;01;07;N˙mero de iniciativas de colaboraciÛn p˙blico privada desarrollados en el Foro;N⁄MERO;20
001102;92402;01;06;N˙mero de empresas especialmente comprometidas con polÌticas de igualdad de gÈnero;N⁄MERO;7
001102;92402;01;05;Entidades que se adhieren al Foro para colaborar con el Ayuntamiento;N⁄MERO;10
001102;92402;01;04;Herramientas puestas a disposiciÛn de las ¡reas para incentivar la participaciÛn empresarial y la planificaciÛn y desarr;N⁄MERO;3
001102;92402;01;03;Programas de colaboraciÛn para la promociÛn econÛmica de la ciudad mediante subvenciones nominativas;N⁄MERO;4
001102;92402;01;02;Entidades que participan en proyectos de ciudad asesorados por la Oficina de Proyectos estratÈgicos y participaciÛn empr;N⁄MERO;15
001102;92402;01;01;Asesoramiento a las ¡reas de Gobierno, Distritos, Empresas y Organismos AutÛnomos municipales;N⁄MERO;26
001102;92402;02;10;Proyectos apoyados en programas formativos y de promociÛn de talentos en la industria audiovisual;N⁄MERO;20
001102;92402;02;09;Asociaciones, empresas o entidades adheridas al Cl˙ster Audiovisual de Madrid;N⁄MERO;70
001102;92402;02;08;N∫ de ayudas concedidas a proyectos audiovisuales en p˙blica concurrencia;N⁄MERO;35
001102;92402;02;07;Proyectos presentados a la convocatoria p˙blica anual de subvenciones en concurrencia competitiva dirigida al sector aud;N⁄MERO;100
001102;92402;02;06;Estudios de percepciÛn de la marca Madrid;N⁄MERO;2
001102;92402;02;05;Eventos para activar la marca Madrid en sectores estratÈgicos;N⁄MERO;2
001102;92402;02;04;Videos para la promociÛn de la marca Madrid y la mejora de su posicionamiento;N⁄MERO;2
001102;92402;02;03;ProducciÛn de merchandising promocional de la marca Madrid;N⁄MERO;1
001102;92402;02;02;Publicaciones biling¸es para la promociÛn de la marca Madrid;N⁄MERO;2
001102;92402;02;01;CampaÒas de comunicaciÛn para la promociÛn de la marca Madrid y la mejora de su posicionamiento global;N⁄MERO;1
001102;92402;03;01;EvaluaciÛn de solicitudes de mediaciÛn;N⁄MERO;80
001102;92402;03;02;Expedientes de mediaciÛn administrativa;N⁄MERO;60
001102;92402;03;03;Derivaciones a otros servicios municipales;N⁄MERO;15
