Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;X;Y;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado;Importe 2023;Importe 2024;Importe 2025;Importe 2026;Resto Anualidades;Total previsto;Estado;Url complementaria1;Url complementaria2;Observaciones;Url_fotografia;Fecha de los datos;;
001;AYUNTAMIENTO;160;DESARROLLO URBANO;2006/000375;SISTEMAS DE COMPENSACIÓN. UZP 2-04 LOS BERROCALES;2008;2023;;219;VICÁLVARO;LOS BERROCALES;;LOS BERROCALES;;;;40.3772222;-3.579722222222222;06;URBANISMO;14137158,83;2628714,43;;;;;16765873,26;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;160;DESARROLLO URBANO;2009/000488;UZP 2.03 DESARROLLO DEL ESTE LOS AHIJONES. COMPENSACIÓN;2010;2023;;219;VICÁLVARO;UZP 2.03 DESARROLLO DEL ESTE LOS AHIJONES. COMPENSACIÓN;;DESARROLLO DEL ESTE LOS AHIJONES;;;;40.3879964;-3.56225647;06;URBANISMO;9654047,10;;;;;;9654047,10;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;160;DESARROLLO URBANO;2010/000393;SUELO URBANIZABLE PROGRAMADO 3.01 DESARROLLO DEL ESTE VALDECARROS;2010;2023;;218;VILLA DE VALLECAS;PAU Valdecarros;;PAU Valdecarros;;;;40.34915068793722;-3.6292232757681036;06;URBANISMO;10443642,22;;;;;;10443642,22;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;2016;2024;;219;VICÁLVARO;INICIO DEL CAUCE DEL ARROYO EN ÁMBITO UZPP 2.04 LOS BERROCALES HASTA LAS INMEDIACIONES DE LA A3;;BERROCALES HASTA LAS INMEDIACIONES DE LA A3;;;;40.37320354825461;-3.5599462399323714;09;MEDIO AMBIENTE;109768,77;438345,20;1350000,00;;;;1898113,97;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000427;CENTRO CULTURAL EN VALDERRIVAS, C/ TITANIO. CONSTRUCCIÓN;2017;2023;;219;VICÁLVARO;CALLE TITANIO,5 C/V RIBAS DE JARAMA;CALLE;TITANIO,5 C/V RIBAS DE JARAMA;;;;40.4021037;-3.6037268;10;CULTURA;4325528,76;3412910,76;;;;;7738439,52;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000470;CENTRO DEPORTIVO C/COSTANILLA DESAMPARADOS, 15 C/V A C/FÚCAR, 6. CONSTRUCCIÓN;2018;2023;;201;CENTRO;CALLE COSTANILLA DE LOS DESAMPARADOS, 15;CALLE;COSTANILLA DE LOS DESAMPARADOS;15;;;40.411993428490256;-3.6960142431122205;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;11864370,84;11811934,04;;;;;23676304,88;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2017/000187;CENTRO DE MAYORES Y OTROS USOS POLIVALENTES C/ BRONCE. CONSTRUCCIÓN;2018;2023;;202;ARGANZUELA;CALLE BRONCE, 16 C/V CALLE CROMO;CALLE;BRONCE, 16 C/V CALLE CROMO;;;;40.389342;-3.6906507;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;3267817,99;3447817,20;;;;;6715635,19;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2017/000249;PARQUE DEL RETIRO. ACTUACIONES DE REHABILITACIÓN;2017;2023;;203;RETIRO;PLAZA  INDEPENDENCIA, 7 ;PLAZA;DE LA INDEPENDENCIA;7;;;40.419683887311045;-3.6879969384116786;09;MEDIO AMBIENTE;78045,00;;;;;;78045,00;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2017/000317;BIBLIOTECA DE VILLAVERDE. CONSTRUCCIÓN;2019;2024;;217;VILLAVERDE;CALLE CALCIO, 1;CALLE;CALCIO;1;;;40.3512974;-3.6816647;10;CULTURA;1164263,52;2114282,00;1932010,00;;;;5210555,52;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2018/001118;CENTRO MAYORES Y SERVICIOS SOCIALES C/CANAL DE PANAMÁ C/V.CANAL MOZAMBIQUE . CONSTRUCCIÓN;2018;2023;;215;CIUDAD LINEAL;CALLE PANAMÁ, 17 C/V CANAL DE MOZAMBIQUE;CALLE;PANAMÁ, 17 C/V CANAL DE MOZAMBIQUE;;;;40.440897645215856;-3.6518546975119777;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;6434764,49;;;;;;6434764,49;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2018/005043;CASA DUQUESA DE SUECA. OBRAS RECONSTRUCCIÓN CUERPO ESTE;2018;2023;;201;CENTRO;PZA. DUQUE DE ALBA, 2;PLAZA;DUQUE DE ALBA;2;;;40.41218768941304;-3.705686218236463;00;INVERSIONES DE CARÁCTER GENERAL;2512440,36;200001,37;;;;;2712441,73;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2018/006051;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";2018;2023;;221;BARAJAS;PASEO ALAMEDA DE OSUNA, 25;PASEO;ALAMEDA DE OSUNA;25;;;40.4547855;-3.6019412;10;CULTURA;2714294,83;1696629,35;;;;;4410924,18;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2018/008294;ESCUELA INFANTIL EN CANILLEJAS. CONSTRUCCIÓN (ID 18: 539);2019;2023;;220;SAN BLAS-CANILLEJAS;CALLE JOSEFA VALCARCEL, 21 (JUNTO INTERCAMBIADOR CANILLEJAS);CALLE;JOSEFA VALCARCEL;21;;;40.448555;-3.6491725;05;EDUCACIÓN;3587845,84;;;;;;3587845,84;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2019/000092;BIBLIOTECA VILLA DE VALLECAS. CONSTRUCCION;2021;2025;;218;VILLA DE VALLECAS;AVDA. DE LA GAVIA, 55;AVENIDA;DE LA GAVIA;55;;;40.36707456785566;-3.6164204452259043;10;CULTURA;173071,99;350000,00;5292785,00;1663747,00;;;7479603,99;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000344;NUEVA PLANTA DE MATERIA ORGÁNICA EN EL PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;2022;2023;;218;VILLA DE VALLECAS;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;;CASCO HISTÓRICO DE VALLECAS;;;;40.336444;-3.577083;09;MEDIO AMBIENTE;452754,41;18245845,80;;;;;18698600,21;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2019/000527;MUSEO DE SAN ISIDRO. OBRAS DE ADECUACIÓN PARA SOSTENIBILIDAD;2021;2024;;201;CENTRO;PLAZA SAN ANDRÉS, 2;PLAZA;SAN ANDRÉS;2;;;40.4120708;-3.7132821;10;CULTURA;108462,67;16361,92;1500000,00;;;;1624824,59;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000544;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE REJAS. OBRAS ADECUACIÓN Y MEJORA;2020;2026;;221;BARAJAS;CAMINO DE LA MUÑOZA;CAMINO;DE LA MUÑOZA;;;;40.451781227823204;-3.535458209657427;09;MEDIO AMBIENTE;58320,20;5867368,00;15221668,00;15221668,00;14771668,00;;51140692,20;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000545;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE VALDEBEBAS. OBRAS DE ADECUACIÓN Y MEJORA;2020;2026;;221;BARAJAS;CARRETERA ANTIGUA DE PARACUELLOS DE JARAMA, 44;CARRETERA;ANTIGUA DE PARACUELLOS DE JARAMA;44;;;40.4944431;-3.5501484;09;MEDIO AMBIENTE;114179,55;15269310,00;18380942,00;18380900,00;11418298,00;;63563629,55;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000666;COLECTOR VICÁLVARO A, SECTOR LOS AHIJONES. CONSTRUCCIÓN;2019;2023;;219;VICÁLVARO;ÁMBITO UZPP 2.03 LOS AHIJONES Y ÁMBITO UZPP 2.04 LOS BERROCALES;;ÁMBITO UZPP 2.03 LOS AHIJONES Y ÁMBITO UZPP 2.04 LOS BERROCALES;;;;40.38058555358565;-3.5665939694949285;09;MEDIO AMBIENTE;10735741,86;6676277,87;;;;;17412019,73;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2019/000822;UNIDAD INTEGRAL DE POLICÍA MUNICIPAL VILLA DE VALLECAS. CONSTRUCCIÓN;2020;2023;;218;VILLA DE VALLECAS;CALLE REAL DE ARGANDA, 64;CALLE;REAL DE ARGANDA;64;;;40.37928922449757;-3.6150449923781593;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;3320084,40;3303745,22;;;;;6623829,62;EN PROCESO;;;;;25/04/2023;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2019/003801;CENTRO DEPORTIVO SAN BLAS. REFORMA PABELLÓN DE GIMNASIA Y EDIFICIO DE OFICINAS;2020;2023;;220;SAN BLAS-CANILLEJAS;C/ARCOS DE JALÓN, 59;CALLE;ARCOS DE JALON;59;;;40.42874025038333 ;-3.6132943894005063;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;6199001,81;;;;;;6199001,81;EN PROCESO;;;;;25/04/2023;;
