Centro;Descripcion Centro;Cap.;Cap.;Economico;Descripcion Economico;PREV.INICIAL;MODIFICACIONES;PREV.DEFINITIV;D. RECON.NETOS;RECAUDADO
001;AYUNTAMIENTO DE MADRID;4;4;41000;DE OO.A.. DEL AYTO.MADRID;0;9690153,35;9690153,35;9690153,35;9690153,35
001;AYUNTAMIENTO DE MADRID;4;4;41000;DE OO.A.. DEL AYTO.MADRID;0;7589203,65;7589203,65;7589203,65;7589203,65
001;AYUNTAMIENTO DE MADRID;4;4;41000;DE OO.A.. DEL AYTO.MADRID;0;9530930,68;9530930,68;9530930,68;9530930,68
001;AYUNTAMIENTO DE MADRID;4;4;41000;DE OO.A.. DEL AYTO.MADRID;0;2161,4;2161,4;0;0
001;AYUNTAMIENTO DE MADRID;4;4;41000;DE OO.A.. DEL AYTO.MADRID;0;2901916,95;2901916,95;2901916,95;2901916,95
001;AYUNTAMIENTO DE MADRID;4;4;41000;DE OO.A.. DEL AYTO.MADRID;0;898446,18;898446,18;898446,18;898446,18
001;AYUNTAMIENTO DE MADRID;7;7;71000;DE OO.AA. AYTO. MADRID;0;1365089,51;1365089,51;1365089,51;1365089,51
001;AYUNTAMIENTO DE MADRID;7;7;71000;DE OO.AA. AYTO. MADRID;0;188923,64;188923,64;188923,64;188923,64
501;INFORMÁTICA DEL AYUNTAMIENTO DE MADRID;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;143828605;-2704445;141124160;136532569,4;117298207,1
501;INFORMÁTICA DEL AYUNTAMIENTO DE MADRID;7;7;70000;DE ADMON. GRAL. AYTO.MADR;10001606;3109781,12;13111387,12;13111387,12;3109781,12
501;INFORMÁTICA DEL AYUNTAMIENTO DE MADRID;7;7;70006;De la Admón. Gral. Ayto. Madri;424132;0;424132;424132;424132
503;AGENCIA PARA EL EMPLEO DE MADRID;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;2081043;0;2081043;-985347,86;-985347,86
503;AGENCIA PARA EL EMPLEO DE MADRID;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;37697311;120000;37817311;37817311;22110098,08
503;AGENCIA PARA EL EMPLEO DE MADRID;7;7;70000;DE ADMON. GRAL. AYTO.MADR;2886500;0;2886500;2886500;2886500
503;AGENCIA PARA EL EMPLEO DE MADRID;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;0;20000;20000;20000;0
503;AGENCIA PARA EL EMPLEO DE MADRID;4;4;40006;DE LA ADMÓN. GRAL. AYTO. MADRI;0;0;0;-513184,81;-513184,81
506;AGENCIA TRIBUTARIA  MADRID;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;67328061;723971,61;68052032,61;68052032,61;62936009,26
506;AGENCIA TRIBUTARIA  MADRID;7;7;70000;DE ADMON. GRAL. AYTO.MADR;174600;0;174600;174600;174600
508;MADRID SALUD;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;110627055;1413361,2;112040416,2;105624908,4;95960332,1
508;MADRID SALUD;7;7;70000;DE ADMON. GRAL. AYTO.MADR;1468983;89694,65;1558677,65;1558677,65;1558677,65
509;AGENCIA DE ACTIVIDADES;4;4;40000;DE LA ADM. GRAL. DEL AYUNTAMIENTO DE MADRID;21355254;310312;21665566;18705321,12;17225198,68
509;AGENCIA DE ACTIVIDADES;7;7;70000;DE ADMON. GRAL. AYTO.MADR;7682;0;7682;7682;0
001;AYUNTAMIENTO DE MADRID;1;1;11500;IMPUESTO SOBRE VEHÍCULOS DE TRACCIÓN MECÁNICA;1000;0;1000;59;59
001;AYUNTAMIENTO DE MADRID;3;3;32100;LICENCIAS URBANÍSTICAS;10000;0;10000;0;0
001;AYUNTAMIENTO DE MADRID;3;3;33100;ENTRADA DE VEHÍCULOS;3000;0;3000;565,31;565,31
001;AYUNTAMIENTO DE MADRID;3;3;38900;PAGOS DE  EJERCICIOS ANTERIORES;0;0;0;3066390,86;3066390,86
001;AYUNTAMIENTO DE MADRID;3;3;38900;PAGOS DE  EJERCICIOS ANTERIORES;0;0;0;180384,81;180384,81
001;AYUNTAMIENTO DE MADRID;3;3;38900;PAGOS DE  EJERCICIOS ANTERIORES;0;0;0;332800;332800
