Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real
;;1;100;91216;60900;2024/000057;2024/000057;BIENES PATRIMONIO HISTÓRICO ARTÍSTICO PRESIDENCIA DEL PLENO, PZA. DE LA VILLA, 4;201;CENTRO;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;;;;;;;14000;-14000;0;0;0;0;0;0;0;0
;;1;100;91216;60900;2024/000057;2024/020057;EDIFICIO PLAZA DE LA VILLA, 4. CUADROS RETRATOS DE REGIDORES DEL AYUNTAMIENTO DE MADRID;201;CENTRO;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;;;;;;;0;13200;13200;0;0;13200;13200;0;0;0
;;1;100;91216;61900;2024/000057;2024/000057;BIENES PATRIMONIO HISTÓRICO ARTÍSTICO PRESIDENCIA DEL PLENO, PZA. DE LA VILLA, 4;201;CENTRO;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;;;;;;;13000;-12752;248;248;0;0;0;0;0;0
;;1;100;91216;61900;2024/000057;2024/010057;EDIFICIO PLAZA DE LA VILLA, 4. RESTAURACIÓN DE LÁMPARAS, FAROLES Y OTROS BIENES;201;CENTRO;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;;;;;;;0;13552;13552;0;0;13552;13552;0;0;0
;;1;100;91230;62302;2024/000056;2024/000056;SERVICIOS SECRETARÍA GENERAL DEL PLENO. ELEMENTOS COMUNICACION Y TRANSCRIPCIONES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2000;0;2000;2000;0;0;0;0;0;0
;;1;100;91230;62500;2024/000017;2024/000017;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;4000;0;4000;4000;0;0;0;0;0;0
;;1;100;91230;62599;2024/000017;2024/000017;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;4000;0;4000;4000;0;0;0;0;0;0
;;1;100;91230;62901;2024/000137;2024/000137;SECRETARIA GENERAL DEL PLENO. SEÑALIZACION;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2000;0;2000;2000;0;0;0;0;0;0
;;1;100;91230;63600;2024/000056;2024/000056;SERVICIOS SECRETARÍA GENERAL DEL PLENO. ELEMENTOS COMUNICACION Y TRANSCRIPCIONES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000;0;5000;5000;0;0;0;0;0;0
;;1;100;91240;62500;2024/000055;2024/000055;EQUIPAMIENTO SERVICIOS GRUPOS POLITICOS MUNCIPALES;999;NO DISTRITALIZABLE;0;INVERSIONES DE CARÁCTER GENERAL;1;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000;0;5000;5000;0;0;0;0;0;0
