Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;TipoVial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2025;Gasto ejecutado año en curso;Importe 2026;Importe 2027;Importe 2028;Resto Anualidades;Gasto ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_fotografia;Fecha de los datos;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2023/001530;PARQUE DE BOMBEROS Nº 9. OBRAS REFORMA Y AMPLIACIÓN EN SÓTANO, EDIFICIO GIMNASIO Y COCHERAS TRASERAS;2023;2025;;208;FUENCARRAL-EL PARDO;AVENIDADE  MONFORTE DE LEMOS, 20;AVENIDA;DE MONFORTE DE LEMOS;20;40.480208828940015 ;-3.69961258755109232;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;2703268,41;1002153,00;383096,91;;;;;3086365,32;3705421,41;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2024/001247;PARQUE DE BOMBEROS NÚMERO 9, EDIFICIO OESTE. OBRAS DE REFORMA Y AMPLIACIÓN;2024;2025;;208;FUENCARRAL-EL PARDO;AVENIDADE  MONFORTE DE LEMOS, 20;AVENIDA;DE MONFORTE DE LEMOS;20;40.48162118706860;-3.6998007710643600;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;399999,90;1289172,00;124025,81;;;;;524025,71;1689171,90;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2024/001341;EDIFICIO AVENIDA ORCASUR, 51. OBRAS REHABILITACIÓN PARA CENTRO LOGÍSTICO POLICÍA MUNICIPAL ORCASUR;2024;2027;;212;USERA;AVENIDA DE ORCASUR, 51;AVENIDA;DE ORCASUR;51;40.36727894546330;-3.7013947126598500;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;352209,49;1410000,00;686804,48;3800000,00;2600000,00;;;1039013,97;8162209,49;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2025/000352;BASE 0 SAMUR-PROTECCIÓN CIVIL. OBRAS DE REFORMA EDIFICIO 2;2025;2025;;209;MONCLOA-ARAVACA;RONDA DE LAS PROVINCIAS, 7;RONDA;DE LAS PROVINCIAS;7;40.414588186534400;-3.7439416450906395;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;1241653,00;;;;;;0,00;1241653,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2018/006051;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";2018;2025;;221;BARAJAS;PASEO DE LA  ALAMEDA DE OSUNA, 25;PASEO;DE LA ALAMEDA DE OSUNA;25;40.4547855;-3.6019412;10;CULTURA;7384452,10;1500000,00;1108640,20;;;;;8493092,30;8884452,10;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2020/000043;CASA DE VARGAS. REHABILITACIÓN CASA-PALACIO Y JARDÍN DE FELIPE II;2020;2026;;209;MONCLOA-ARAVACA;PASEO DEL EMBARCADERO, 2;PASEO DEL;DEL EMBARCADERO;2;40.4191125;-3.7256439;10;CULTURA;751269,26;9920319,48;;2477563,10;;;;751269,26;13149151,84;EN PROCESO;Importe 2025 es el Crédito Definitivo a 30/06/2025;;30/06/2025;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2020/000419;PABELLÓN DE HEXÁGONOS CASA DE CAMPO. REHABILITACIÓN;2024;2027;;209;MONCLOA-ARAVACA;CALLE DE LOS HEXÁGONOS, 4;CALLE;DE LOS HEXÁGONOS;4;40.4126577;-3.7442902;10;CULTURA;17543,81;500000,00;;1331900,00;1250000,00;;;17543,81;3099443,81;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2021/000053;NAVE 15 MATADERO. OBRAS DE ACONDICIONAMIENTO;2021;2026;;202;ARGANZUELA;PLAZA DE LEGAZPI, 8;PLAZA;DE LEGAZPI;8;40.3917614508368 ;-3.6963276163896612;10;CULTURA;55902,00;;;1882576,00;;;;55902,00;1938478,00;EN PROCESO;Pendiente de habilitar Crédito en 2025;;30/06/2025;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2023/001019;ARCO DE LA VICTORIA. OBRAS DE REPARACIÓN Y MEJORA;2023;2026;;209;MONCLOA-ARAVACA;AVENIDA DE LA MEMORIA, 32;AVENIDA;DE LA MEMORIA;32;40.435908;-3.720198;10;CULTURA;18016,71;75000,00;;1125000,00;;;;18016,71;1218016,71;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2023/001367;PALACIO CIBELES. SUBSANACIÓN DEFICIENCIA INSTALACIÓN ELÉCTRICA, PROTECCIÓN INCENDIOS Y CLIMATIZACIÓN;2023;2026;;203;RETIRO;PLAZA DE CIBELES, 1;PLAZA;DE CIBELES;1;40.418803;-3.69182;00;INVERSIONES DE CARÁCTER GENERAL;1103612,86;1718526,00;794877,73;4877,00;;;;1898490,59;2827015,86;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2025/000316;MUSEOGRAFIA PARA EL MUSEO EL CAPRICHO;2025;2026;;221;BARAJAS;CALLE DE LA RAMBLA, 2;CALLE;DE LA RAMBLA;2;40.456849488736700;-3.5951170384193900;10;CULTURA;;600000,00;;1000000,00;;;;0,00;1600000,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2025/000377;MUSEO DE ARTE CONTEMPORANEO. OBRAS DE ACONDICIONAMIENTO;2025;2027;;201;CENTRO;CALLE DEL CONDE DUQUE, 9;CALLE;DEL CONDE DUQUE;9;40.42730579227890;-3.710730140331340;10;CULTURA;;125000,00;17545,00;2000000,00;2955717,00;;;17545,00;5080717,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;131;DEPORTE;2022/001481;DEPORTIVO BÁSICO PIQUEÑAS. ADECUACIÓN CAMPO DE FÚTBOL CÉSPED ARTIFICIAL Y VESTUARIOS;2022;2025;;211;CARABANCHEL;C/ PINAR DE SAN JOSÉ C/V. C/ DE LA TORTA;CALLE;DEL PINAR DE SAN JOSÉ;64;40.360952;-3.768519;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;57109,00;1792809,00;;;;;;57109,00;1849918,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;131;DEPORTE;2023/000282;DEPORTIVO BÁSICO PARQUE LINEAL DEL MANZANARES. SUSTITUCIÓN DE CÉSPED;2025;2025;;212;USERA;CALLE EMBAJADORES S/N;CALLE;EMBAJADORES;S/N;40.374485;-3.685494;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;;1100000,00;;;;;;0,00;1100000,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2006/000375;SISTEMAS DE COMPENSACIÓN. UZP 2-04 LOS BERROCALES;2008;2028;;219;VICÁLVARO;LOS BERROCALES;;LOS BERROCALES;;40.3772222;-3.579722222222222;06;URBANISMO;20202504,94;1000000,00;;2500000,00;2500000,00;2500000,00;;20202504,94;28702504,94;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2009/000488;UZP 2.03 DESARROLLO DEL ESTE LOS AHIJONES. COMPENSACIÓN;2010;2028;;219;VICÁLVARO;UZP 2.03 DESARROLLO DEL ESTE LOS AHIJONES. COMPENSACIÓN;;DESARROLLO DEL ESTE LOS AHIJONES;;40.3879964;-3.56225647;06;URBANISMO;13023162,58;1023000,00;;1149951,66;1149951,66;1149951,66;;13023162,58;17496017,56;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2010/000393;SUELO URBANIZABLE PROGRAMADO 3.01 DESARROLLO DEL ESTE VALDECARROS;2010;2028;;218;VILLA DE VALLECAS;PAU Valdecarros;;PAU Valdecarros;;40.34915068793722;-3.6292232757681036;06;URBANISMO;15139436,42;3166196,00;;2347897,10;2347897,10;2347897,10;;15139436,42;25349323,72;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2019/000791;SOTERRAMIENTO AUTOPISTA A5 Y PASEO VERDE DEL SUROESTE. CONSTRUCCIÓN;2019;2027;;210;LATINA;PASEO DE EXTREMADURA, 160 AL 350, 28024 MADRID;PASEO;DE EXTREMADURA;160-350;40.40591410670645;-3.7504038495964656;07;INFRAESTRUCTURAS;4510279,65;126892934,00;6963774,18;133387826,00;49854744,62;;;11474053,83;314645784,27;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2020/007076;ANILLO VERDE DE VILLAVERDE. EJECUCIÓN BOSQUE METROPOLITANO;2021;2025;;217;VILLAVERDE;ANILLO VERDE DE VILLAVERDE;;ANILLO VERDE DE VILLAVERDE;;40.36002547;-3.71601781;06;URBANISMO;7807688,48;1500000,00;;;;;;7807688,48;9307688,48;EN PROCESO;;;30/06/2025;;
